Reference; Quantity; Footprint; Value; Voltage; Type; Description; Tolerance; Size; Power; Current; 
C101 C301 C325 C331 C357 ;5;CAP-TH-D12.5mmP5mm;560u;'63V;';'560uF 63V High ripple current long life, eg Panasonic FR EEUFR1J561L;';'Pitch 5mm, Diameter 12.5mm;';';
C102 C302 C326 C332 C358 ;5;SMD-0805;4u7;'50V;'X5R;'Ceramic capacitor;'10%;'0805;';';
C103 C303 C306 C313 C321 C323 C324 C327 C330 C333 C335 C339 C346 C354 C356 C359 C362 ;17;SMD-0805;100n;'50V;'X7R;'Ceramic capacitor;'10%;'0805;';';
C203 C205 C210 C212 C217 C219 C224 C226 ;8;CAP_TH_5mm_W3.5mm;100n;'63V;'MKT;'Polyester film capacitor;'5%;'5mm;';';
C202 C204 C206 C209 C211 C213 C216 C218 C220 C223 C225 C227 ;12;SMD-0805;1n;'50V;'C0G;'Ceramic capacitor;'5%;'0805;';';
C201 C207 C208 C214 C215 C221 C222 C228 ;8;CAP-TH-D6.3mmP2.5mm;10u;'63V;';'High quality capacitor, eg Panasonic FC;';'Pitch 2.5mm, Diameter 6.3mm;';';
C304 C305 C307 C308 C309 C310 C312 C316 C317 C318 C319 C320 C328 C329 C334 C338 C340 C341 C342 C343 C345 C349 C350 C351 C352 C353 C360 C361 ;28;CAP_TH_P5mm_W3.5mm_L7.3mm;220n;'100V;'MKT;'Epcos B32529C1224 or Kemet R82EC3220Z370J – See schematic for detailed part information for TDA7492/TDA7498/TDA7498E;'5%;'Size;';';
C311 C315 C344 C348 ;4;CAP_TH_5mm;330p;'1kV;'FKP;'Wima FKP2O103301D00J;'5%;'5mm;';';
C314 C322 C347 C355 ;4;SMD-0805;10u;'10V;'X7R;'Ceramic capacitor;'10%;'0805;';';
C336 C337 ;2;SMD-0805;2u2;'10v;'X5R;'Ceramic capacitor;'20%;'0805;';';
D301 ;1;DIODE-SOD-123;MMSZ5225BT1G;'3V;';'SOD-123 Zener Diode;';';'500mW;';
L301 L302 L303 L304 L305 L306 L307 L308 ;8;IND-TH-PCV-0-223-10L;PCV-0-223-10L;';';'Coilcraft PCV-0-223-10L - See schematic for detailed part information for TDA7492/TDA7498/TDA7498E;';'Size;';'13A;
P201 ;1;CONN_DIL_2X10_BOX_1MM;CONN_02X10;';';'2x10 2.54mm pitch box header;';';';';
P104 P301 P302 P306 P307 ;5;CONN-SCREW-2WAY-7.5mm-7.62mm;CONN_2x1;';';'7.5mm/7.62mm Pitch 2 Way Screw Terminal;';';';';
P303 P304 P305 P308 P309 P310 P311 ;7;CONN_SIL_2_1MM;CONN_2x1;';';'2x1 Pin Header 2.54mm;';';';';
R202 R203 R206 R207 R210 R211 R214 R215 ;8;SMD-1206;100k;';';'MELF0204 1% =>250mW or 1206 1% =>250mW;'1%;'1206;'250mW;';
R201 R204 R205 R208 R209 R212 R213 R216 ;8;SMD-1206;100;';';'MELF0204 1% =>250mW or 1206 1% =>250mW;'1%;'1206;'250mW;';
R301 R303 R307 R309 R317 R319 R323 R324 ;8;SMD_MELF_0207;8R2;';';'High Power 1W MELF 0207;'5%;'Axial;'1W;';
R302 R306 R318 R322 ;4;SMD_MELF_0207;22;';';'High Power 1W MELF 0207;'5%;'Axial;'1W;';
R304 R305 R320 R321 ;4;SMD-0805;10k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R308 ;1;SMD-0805;39k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R310 ;1;SMD-2512;1k8;';';'High Power 2512 Resistor;'1%;'2512;'2W;';
R311 ;1;SMD-0805;0;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R312 ;1;SMD-0805;47k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R313 R315 ;2;SMD-0805;1k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R314 ;1;SMD-0805;220k;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
R316 ;1;SMD-0805;33;';';'Thick or thin film resistor;'1%;'0805;'100mW;';
U301 U302 ;2;IC-PowerSSO-36-EPU;TDA7498;';';'TDA7492/TDA7498 - See schematic for details;';';';';
